INDICE_LINHA;NOME_FONTE;ID_ESCOLA;NOME_INEP;MUNICIPIO;CLASSIFICACAO_MATCH;MOTIVO;SCORE
12;Colégio Estadual Cívico Militar Olavo Bilac;41014375.0;OLAVO BILAC C E CMEF M;Ubiratã;ambiguous;Competição próxima entre 'OLAVO BILAC C E CMEF M' (Ubiratã) e 'OLAVO BILAC C E CMEF M' (Faxinal);1.233
13;Colégio Estadual Cívico Militar Jandaia do Sul;41027558.0;JANDAIA DO SUL C E CMEF M;Jandaia do Sul;confirmed;Top match claro (score 1.233 vs 0.762);1.233
14;Colégio Estadual Tadashi Enomoto;41026284.0;TADASHI ENOMOTO C E CMEF M;Apucarana;confirmed;Candidato único com score 1.233;1.233
15;C.E. Cívico-Militar Professora Jaci Real Prado de Oliveira;41122925.0;JACI REAL P OLIVEIRA C E CM PROFAEFMP;Almirante Tamandaré;confirmed;Top match claro (score 1.048 vs 0.792);1.048
16;Emilia Buzato, C E-Ef M;41122836.0;EMILIA BUZATO C E CM EF M PROFIS;Campo Magro;confirmed;Top match claro (score 1.350 vs 0.562);1.35
17;Escola Estadual Prof Rosa Frederica Johnson;41123212.0;ROSA F JOHNSON E E CM PROFA EF;Almirante Tamandaré;confirmed;Top match claro (score 1.017 vs 0.637);1.017
18;Colégio Estadual Professor Alberto Krause;41122801.0;ALBERTO KRAUSE C E CM PROFEF M P;Almirante Tamandaré;confirmed;Top match claro (score 1.233 vs 0.745);1.233
19;Ivan F Do Amaral Filho, C E-Ef M;41124669.0;IVAN F DO AMARAL FILHO C E CM EF M P;Campina Grande do Sul;confirmed;Top match claro (score 1.350 vs 0.723);1.35
20;Colégio Estadual Cívico-Militar Oscar Joseph D'Plácido e Silva;41373456.0;OSCAR J D P E SILVA C E CM EF M;Pinhais;confirmed;Top match claro (score 0.850 vs 0.571);0.85
21;Planta Deodoro, E E-Ef;41150902.0;PLANTA DEODORO C E CM EF M;Piraquara;confirmed;Top match claro (score 1.350 vs 0.592);1.35
22;Maria Lopes De Paula, C E Profa-Ef M;41123360.0;MARIA L DE PAULA C E CM PROFAEF M P;Almirante Tamandaré;confirmed;Top match claro (score 0.958 vs 0.637);0.958
23;Colégio Estadual Cívico-Militar Alfredo Chaves;41125673.0;ALFREDO CHAVES C E CMEF M;Colombo;confirmed;Top match claro (score 1.233 vs 0.562);1.233
24;Joao Bosco, C E D-Ef M;41126106.0;JOAO BOSCO C E CM DEF M;Colombo;ambiguous;Competição próxima entre 'JOAO BOSCO C E CM DEF M' (Colombo) e 'SAO JOAO BOSCO C E CMEF M P' (Pato Branco);1.233
25;Rui Barbosa, C E C-M - EFM;41093607.0;RUI BARBOSA C E CMEF M;Pato Branco;ambiguous;Competição próxima entre 'RUI BARBOSA C E CMEF M' (Pato Branco) e 'RUI BARBOSA C E CMEF M PROF' (Colombo);1.233
26;Vinicius De Moraes, C E-Ef M;41024869.0;VINICIUS DE MORAES C E CMEF M;Maringá;ambiguous;Competição próxima entre 'VINICIUS DE MORAES C E CMEF M' (Maringá) e 'VINICIUS DE MORAES C E CMEF M' (Dois Vizinhos);1.233
27;Colégio Estadual Cívico Militar Vereador Luiz Maltaca;41134931.0;LUIZ MALTACA C E CM VEREF M PROFIS;Itaperuçu;confirmed;Top match claro (score 0.923 vs 0.625);0.923
28;Colégio Estadual Semiramis de Barros Braga;41135911.0;SEMIRAMIS DE B BRAGA C E CMEF M PROFI;Pinhais;confirmed;Top match claro (score 0.923 vs 0.608);0.923
29;Colégio Estadual Elias Abrahao C E E Fund Medio;41352610.0;ELIAS ABRAHAO C E CMEF M PROFIS;Quatro Barras;ambiguous;Competição próxima entre 'ELIAS ABRAHAO C E CMEF M PROFIS' (Quatro Barras) e 'ELIAS ABRAHAO E M PROF EI ENS FUND' (Assaí);0.792
30;Colégio Estadual Manoel Borges de Macedo;41136829.0;MANOEL BDE MACEDO C E CM PROFEF M P;Rio Branco do Sul;confirmed;Top match claro (score 0.923 vs 0.723);0.923
31;Dias Da Rocha do FATO;41123506.0;DIAS DA ROCHA C E CMEF M P;Araucária;confirmed;Top match claro (score 0.958 vs 0.637);0.958
32;Colégio Cívico Militar Prof. Anderson Rangel E. F. M.;41148703.0;ANDERSON RANGEL C E CM PROFEF M;Fazenda Rio Grande;confirmed;Top match claro (score 0.958 vs 0.487);0.958
33;Colégio Estadual Cívico-Militar- Prof. João Hoinatz De Andrade;41601904.0;JOAO HOINATZ ANDRADE C E CM PROFEF M;Fazenda Rio Grande;confirmed;Top match claro (score 1.262 vs 0.654);1.262
34;Colégio Estadual General Carneiro;41121600.0;CARNEIRO C E CM GALEF M;Lapa;ambiguous;Competição próxima entre 'CARNEIRO C E CM GALEF M' (Lapa) e 'MILTON CARNEIRO C E CMEF M P' (Curitiba);1.175
35;Colégio Estadual Cívico Militar Manoel Antônio Da Cunha;41121945.0;MANOEL A DA CUNHA C E CMEF M;Lapa;confirmed;Top match claro (score 0.958 vs 0.758);0.958
36;Mireille Maria F Z Machado, E E Prof-Ef;41152905.0;MIREILLE M F Z MACHADO E E CM PREF;Mandirituba;confirmed;Top match claro (score 0.958 vs 0.637);0.958
37;Colégio Estadual Cívico-Militar Eleutério Fernandes de Andrade;41142063.0;ELEUTERIO F DE ANDRADE C E CMEF M P;Quitandinha;confirmed;Top match claro (score 0.958 vs 0.637);0.958
38;Colégio Estadual Presidente Caetano Munhoz Rocha;41049578.0;CAETANO MUNHOZ DA ROCHA C E CEF M;Ibaiti;ambiguous;Competição próxima entre 'CAETANO MUNHOZ DA ROCHA C E CEF M' (Ibaiti) e 'CAETANO M ROCHA C E CM PRESEF M' (Rio Negro);1.062
39;Ovande Do Amaral, C E Dr-Ef M;41142837.0;OVANDE DO AMARAL C E CM DREF M;Rio Negro;confirmed;Top match claro (score 1.233 vs 0.762);1.233
40;Chico Mendes, C E-Ef M;41137493.0;CHICO MENDES C E CMEF M;São José dos Pinhais;confirmed;Top match claro (score 1.233 vs 0.975);1.233
41;Antonio Vieira, C E Pe-Ef M;41146093.0;ANTONIO VIEIRA C E CM PEEF M;São José dos Pinhais;confirmed;Top match claro (score 1.233 vs 1.033);1.233
42;Colégio Shirley Catarina Tamalu Machado;41389310.0;SHIRLEY C T MACHADO C E CMEF M PROF;São José dos Pinhais;confirmed;Top match claro (score 0.727 vs 0.530);0.727
43;Colégio Estadual Zilda Arns Neumann;41601890.0;ZILDA ARNS NEUMANN C E CM DRAEF M P;São José dos Pinhais;ambiguous;Competição próxima entre 'ZILDA ARNS NEUMANN C E CM DRAEF M P' (São José dos Pinhais) e 'ZILDA ARNS NEUMANN C E C DRA EFM' (Carambeí);1.262
44;Colégio Estadual Rocha Pombo;41158806.0;ROCHA POMBO C E CMEF M;Araucária;confirmed;Top match claro (score 1.233 vs 1.033);1.233
45;Juventude De Santo Antonio, C E-Ef M;41124014.0;JUVENTUDE DE SANTO ANTONIO C E CMEF M;Balsa Nova;confirmed;Top match claro (score 1.262 vs 0.958);1.262
46;Colégio Estadual Djalma Marinho;41125053.0;DJALMA MARINHO C E CMEF M PROFIS;Campo Largo;confirmed;Top match claro (score 1.175 vs 0.562);1.175
47;Joao Xxiii, C E-E F M;41041712.0;JOAO XXIII C E CMEF M;São Jerônimo da Serra;ambiguous;Competição próxima entre 'JOAO XXIII C E CMEF M' (São Jerônimo da Serra) e 'JOAO XXIII C E CMEF M' (Campo Largo);1.233
48;Macedo Soares, C E-Ef M;41125304.0;MACEDO SOARES C E CMEF M PROFIS;Campo Largo;confirmed;Top match claro (score 1.175 vs 0.762);1.175
49;Miguel Franco Filho, C E-Ef M;41126670.0;MIGUEL FRANCO FILHO C E CMEF M PROFIS;Contenda;confirmed;Top match claro (score 1.210 vs 0.637);1.21
50;Colégio Estadual Padre Arnaldo Jansen;41137361.0;ARNALDO JANSEN C E CM PEEF M PROFIS;São José dos Pinhais;confirmed;Top match claro (score 1.175 vs 0.975);1.175
51;Colégio Estadual Cívico-Militar Guimarães Rosa;41063686.0;GUIMARAES ROSA C E CMEF M;Assis Chateaubriand;confirmed;Top match claro (score 1.233 vs 0.792);1.233
52;Colégio Estadual Cívico Militar Senador Teotonio Vilela;41064020.0;TEOTONIO VILELA C E CM SENEF M;Assis Chateaubriand;confirmed;Top match claro (score 1.233 vs 1.033);1.233
53;Escola Estadual Professor Darcy José Costa;41015576.0;DARCY JOSE COSTA C E CM PROFEF M P;Campo Mourão;confirmed;Top match claro (score 1.262 vs 0.758);1.262
54;Colégio Estadual Dr Osvaldo Cruz-Ensino de 1º e 2º Graus;41015827.0;OSVALDO CRUZ C E CM DREF M;Campo Mourão;probable;Top match claro (score 0.667 vs 0.502);0.667
55;Colégio Estadual Marechal Rondon - Ensino Fundamental, Médio e Cursos Técnicos;41065662.0;RONDON C E CM MALEF M;Marechal Cândido Rondon;ambiguous;Competição próxima entre 'RONDON C E CM MALEF M' (Marechal Cândido Rondon) e 'RONDON C E CM MALEF M PROFIS' (Campo Mourão);0.508
56;Unidade Polo, C E-Ef M;41015975.0;UNIDADE POLO C E CMEF M PROFIS;Campo Mourão;ambiguous;Competição próxima entre 'UNIDADE POLO C E CMEF M PROFIS' (Campo Mourão) e 'UNIDADE POLO C EEF M P' (Jandaia do Sul);1.175
57;Colégio Estadual Cívico Militar Rui Barbosa E E E Fund;41093607.0;RUI BARBOSA C E CMEF M;Pato Branco;ambiguous;Competição próxima entre 'RUI BARBOSA C E CMEF M' (Pato Branco) e 'RUI BARBOSA C E CMEF M PROF' (Colombo);0.958
58;Colégio Estadual Olavo Bilac;41014375.0;OLAVO BILAC C E CMEF M;Ubiratã;ambiguous;Competição próxima entre 'OLAVO BILAC C E CMEF M' (Ubiratã) e 'OLAVO BILAC C E CMEF M' (Faxinal);1.233
59;Cataratas, C E-Ef M;41071123.0;CATARATAS C E CMEF M;Cascavel;confirmed;Top match claro (score 1.175 vs 0.888);1.175
60;Colégio Estadual Brasmadeira;41071298.0;BRASMADEIRA C E CMEF M PROFIS;Cascavel;confirmed;Candidato único com score 1.117;1.117
61;Colégio Estadual Julia Wanderley;41071654.0;JULIA WANDERLEY C E CM PROFEF M;Cascavel;confirmed;Top match claro (score 1.233 vs 1.033);1.233
62;Colégio Estadual Cívico-Militar Olivo Fracaro - Ensino Fundamental e Medio;41071956.0;OLIVO FRACARO C E CME F M;Cascavel;ambiguous;Competição próxima entre 'OLIVO FRACARO C E CME F M' (Cascavel) e 'COLEGIO SESI CIC ENSINO FUNDAMENTAL E MEDIO' (Curitiba);0.527
63;Santos Dumont, C E-Ef M;41003292.0;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;ambiguous;Competição próxima entre 'SANTOS DUMONT C E CMEF M' (Santa Cruz de Monte Castelo) e 'SANTOS DUMONT C E CMEF M' (Cascavel);1.233
64;Colégio Estadual Doutor João Ferreira Neves;41072391.0;JOAO F NEVES C E CM DREF M;Catanduvas;confirmed;Top match claro (score 0.958 vs 0.758);0.958
65;Colégio Estadual Cívico-Militar Lindoeste-EFM;41074360.0;LINDOESTE C E CMEF M PROFIS;Lindoeste;confirmed;Candidato único com score 1.117;1.117
66;Santa Tereza Do Oeste, C E-Ef M;41075129.0;SANTA TEREZA DO OESTE C E CMEF M P;Santa Tereza do Oeste;confirmed;Top match claro (score 1.262 vs 0.723);1.262
67;Carlos A Camargo, C E-Ef M;41070585.0;CARLOS A CAMARGO C E CMEF M PROFIS;Capitão Leônidas Marques;confirmed;Top match claro (score 1.175 vs 0.792);1.175
68;Colégio Estadual Marechal Humberto de Alencar Castelo Branco - EFM;41007280.0;CASTELO BRANCO E E CM PRESEF;Tapira;ambiguous;Competição próxima entre 'CASTELO BRANCO E E CM PRESEF' (Tapira) e 'HUMBERTO A C BRANCO C E CM MALEF M P' (Cascavel);0.815
69;José Ângelo Baggio Orso, C E-Ef M;41071590.0;JOSE A B ORSO C E CMEF M PROF;Cascavel;confirmed;Top match claro (score 0.815 vs 0.571);0.815
70;Colégio Estadual Bairro 14 de Novembro;41071018.0;XIV DE NOVEMBRO C E CMEF M;Cascavel;probable;Top match claro (score 0.637 vs 0.454);0.637
71;Colégio Estadual Amâncio Moro;41072626.0;AMANCIO MORO C E CM EF M N PROFIS;Corbélia;ambiguous;Competição próxima entre 'AMANCIO MORO C E CM EF M N PROFIS' (Corbélia) e 'AMANCIO MORO C E EF M' (Curitiba);1.233
72;Colégio Estadual D.Bosco;41009126.0;BOSCO C E CM DEF M;Cianorte;ambiguous;Competição próxima entre 'BOSCO C E CM DEF M' (Cianorte) e 'JOAO BOSCO C E CM DEF M' (Colombo);1.175
73;Primo Manfrinato, C E-Ef M;41009363.0;PRIMO MANFRINATO C E CMEF M PROFIS;Cianorte;confirmed;Top match claro (score 1.175 vs 0.412);1.175
74;Castro Alves, C E-Em;41093313.0;CASTRO ALVES C E CMEF M;Pato Branco;confirmed;Top match claro (score 1.233 vs 1.033);1.233
75;Escola Estadual Professor Leo Kohler;41018800.0;LEO KOHLER E E CM PROFEF;Terra Boa;confirmed;Top match claro (score 1.233 vs 0.562);1.233
76;Colégio Cívico Militar Prof. Mailon Medeiros;41043286.0;MAILON MEDEIROS C E CM PROFEF M;Bandeirantes;confirmed;Top match claro (score 0.958 vs 0.487);0.958
77;Andre Seugling, C E-Ef M Profis;41043936.0;ANDRE SEUGLING C E CMEF M;Cornélio Procópio;confirmed;Top match claro (score 1.233 vs 0.545);1.233
78;CEEFM Monteiro Lobato;41022416.0;MONTEIRO LOBATO C E CMEF M;Sertanópolis;ambiguous;Competição próxima entre 'MONTEIRO LOBATO C E CMEF M' (Sertanópolis) e 'MONTEIRO LOBATO C E CMEF M' (Cornélio Procópio);0.958
79;Adelia A Lopes, E E Profa-Ef;41041003.0;ADELIA A LOPES C E CM PROFAEF M;Jataizinho;confirmed;Top match claro (score 1.233 vs 0.762);1.233
80;Colégio Estadual Cívico-Militar João XXIII;41041712.0;JOAO XXIII C E CMEF M;São Jerônimo da Serra;ambiguous;Competição próxima entre 'JOAO XXIII C E CMEF M' (São Jerônimo da Serra) e 'JOAO XXIII C E CMEF M' (Campo Largo);1.233
81;Colégio Estadual João Turin;41042085.0;JOAO TURIN C E CMEF M;São Sebastião da Amoreira;ambiguous;Competição próxima entre 'JOAO TURIN C E CMEF M' (São Sebastião da Amoreira) e 'JOAO TURIN C E CMEF M PROFIS' (Curitiba);1.233
82;Paulo Mozart Machado, C E Prof-Ef M;41042336.0;PAULO MOZART MACHADO C E CM PROFEF M;Uraí;confirmed;Top match claro (score 1.262 vs 0.637);1.262
83;Nobrega Da Cunha, C E-Ef M;41043375.0;NOBREGA DA CUNHA C E CMEF M;Bandeirantes;confirmed;Top match claro (score 1.233 vs 0.762);1.233
84;Escola Estadual Cívico Militar Professor Antônio Bitonti;41046218.0;ANTONIO BITONTI E E CM PROFEF;Sertaneja;confirmed;Top match claro (score 1.233 vs 0.762);1.233
85;Arlindo Carvalho De Amorim, C E-Ef M;41127340.0;ARLINDO C DE AMORIM C E CMEF M PROFIS;Curitiba;confirmed;Top match claro (score 0.923 vs 0.723);0.923
86;Beatriz Faria Ansay, C E-Ef M;41127609.0;BEATRIZ FARIA ANSAY C E CMEFMP;Curitiba;confirmed;Top match claro (score 1.062 vs 0.637);1.062
87;Colégio Estadual Cívico-Militar Marechal Cândido Rondon;41127897.0;CANDIDO RONDON C E CM MALEF M PROFIS;Curitiba;confirmed;Top match claro (score 1.175 vs 1.000);1.175
88;Colégio Estadual Cívico-Militar Ermelino de Leão;41129164.0;ERMELINO DE LEAO C E CMEF M PROFIS;Curitiba;confirmed;Top match claro (score 1.175 vs 0.745);1.175
89;Etelvina C Ribas, C E Profa-Ef M;41129253.0;ETELVINA C RIBAS C E CM PROFAEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.762);1.233
90;Colégio Estadual Cívico-Militar Getúlio Vargas;41129580.0;GETULIO VARGAS C E CMEF M PROFIS;Curitiba;ambiguous;Competição próxima entre 'GETULIO VARGAS C E CMEF M PROFIS' (Curitiba) e 'GETULIO VARGAS C E C PRESEF M' (Ivaté);1.175
91;Escola Estadual Gottlieb Müeller;41129628.0;GOTTLIEB MUELLER C E CMEF M PROFIS;Curitiba;confirmed;Candidato único com score 1.175;1.175
92;Colégio Estadual Cívico-militar João Turin;41042085.0;JOAO TURIN C E CMEF M;São Sebastião da Amoreira;ambiguous;Competição próxima entre 'JOAO TURIN C E CMEF M' (São Sebastião da Amoreira) e 'JOAO TURIN C E CMEF M PROFIS' (Curitiba);1.233
93;Colégio Estadual Luiz Carlos Paula e Souza;41130669.0;LUIZ CARLOS P E SOUZA C E CM PROFEF M;Curitiba;confirmed;Top match claro (score 1.048 vs 0.571);1.048
94;Colégio Cívico Militar Manoel A Guimaraes, C E Sen-Ef M;41130782.0;MANOEL A GUIMARAES C E CM SEN EF M P;Curitiba;confirmed;Top match claro (score 1.017 vs 0.637);1.017
95;Colégio Estadual Professor Olavo Del Claro;41131886.0;OLAVO DEL CLARO C E CM PROFEF M P;Curitiba;confirmed;Top match claro (score 1.262 vs 0.637);1.262
96;Colegio Estadual Cívico Militar Republica Oriental Do Uruguai;41132882.0;REPUBLICA ORIENTAL URUGUAI C E CMEF M;Curitiba;confirmed;Candidato único com score 1.262;1.262
97;Sebastiao Saporski, C E-Ef M;41133404.0;SEBASTIAO SAPORSKI C E CMEF M PROFIS;Curitiba;confirmed;Top match claro (score 1.175 vs 0.745);1.175
98;Segismundo Falarz, C E C-M-Ef M;41133412.0;SEGISMUNDO FALARZ C E CMEF M;Curitiba;confirmed;Top match claro (score 1.233 vs 0.762);1.233
99;Colégio Cívico Militar Senhorinha de Moraes Sarmento;41133471.0;SENHORINHA M SARMENTO C E CMEF M P;Curitiba;confirmed;Top match claro (score 0.815 vs 0.571);0.815
100;Yvone Pimentel, C E-Ef M;41134435.0;YVONE PIMENTEL C E CMEF M PROFIS;Curitiba;confirmed;Top match claro (score 1.175 vs 0.545);1.175
101;Colégio Estadual Cívico-Militar Cruzeiro do Sul;41128664.0;CRUZEIRO DO SUL C E CMEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.762);1.233
102;Guido Arzua, C E Prof-Ef M;41531876.0;GUIDO ARZUA C E CMEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.545);1.233
103;Colégio Estadual Cívico Militar Jayme Canet;41130065.0;JAYME CANET C E CMEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.940);1.233
104;Joao Loyola, C E Prof-Ef M;41130146.0;JOAO LOYOLA C E CM PROFEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.792);1.233
105;Joao Paulo I, C E Papa-Ef M;41057694.0;JOAO PAULO II C E CMEF M;Arapoti;ambiguous;Competição próxima entre 'JOAO PAULO II C E CMEF M' (Arapoti) e 'JOAO PAULO I C E CM PAPAEF M P' (Curitiba);0.958
106;Colégio Estadual Cívico-Militar Padre João Wislinski;41130200.0;JOAO WISLINSKI C E CM PEEF M N P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.792);1.233
107;Julio Mesquita, C E Prof-Ef M Profis;41130359.0;JULIO MESQUITA C E CM PROFEF M PROFIS;Curitiba;confirmed;Top match claro (score 1.175 vs 0.825);1.175
108;Lamenha Lins, C E Pres-Em Profis;41130421.0;LAMENHA LINS C E CM PRESEF M P;Curitiba;confirmed;Top match claro (score 0.958 vs 0.637);0.958
109;Colégio Estadual Prof° Luiza Ross;41130685.0;LUIZA ROSS C E CM PROFAEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.592);1.233
110;Colégio Estadual Milton Carneiro;41131223.0;MILTON CARNEIRO C E CMEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.792);1.233
111;Colégio Estadual Cívico-Militar Pinheiro do Paraná;41132475.0;PINHEIRO DO PARANA C E CMEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.762);1.233
112;Colégio Estadual Cívico Militar Santa Felicidade;41133137.0;SANTA FELICIDADE C E CMEF M P;Curitiba;confirmed;Top match claro (score 1.233 vs 0.762);1.233
113;Santo Antônio;41104897.0;SANTO ANTONIO C E CMEF M;Pinhão;ambiguous;Competição próxima entre 'SANTO ANTONIO C E CMEF M' (Pinhão) e 'SANTO ANTONIO C E CMEF M' (Curitiba);1.233
114;Colégio Estadual Cívico Militar Vinícius de Moraes;41024869.0;VINICIUS DE MORAES C E CMEF M;Maringá;ambiguous;Competição próxima entre 'VINICIUS DE MORAES C E CMEF M' (Maringá) e 'VINICIUS DE MORAES C E CMEF M' (Dois Vizinhos);1.233
115;Jorge De Lima, E E-Ef;41089006.0;JORGE DE LIMA E E CMEF;Salto do Lontra;confirmed;Top match claro (score 1.233 vs 0.562);1.233
116;Colégio Estadual Cívico Militar Leonardo da Vinci - Ensino Fundamental, Médio e Profissional;41084772.0;LEONARDO DA VINCI C E CMEF M N PROFIS;Dois Vizinhos;probable;Top match claro (score 0.654 vs 0.442);0.654
117;Carmelita S Dias, C E Profa-Ef M;41076125.0;CARMELITA S DIAS C E CM PROFAEF M P;Foz do Iguaçu;confirmed;Top match claro (score 1.233 vs 0.762);1.233
118;Colégio Estadual Presidente Castelo Branco;41007280.0;CASTELO BRANCO E E CM PRESEF;Tapira;ambiguous;Competição próxima entre 'CASTELO BRANCO E E CM PRESEF' (Tapira) e 'CASTELO BRANCO C E CM PRESE F M P' (Clevelândia);1.233
119;Colégio Estadual Pres. Costa e Silva;41076265.0;COSTA E SILVA C E CM PRESEF M PROFIS;Foz do Iguaçu;ambiguous;Competição próxima entre 'COSTA E SILVA C E CM PRESEF M PROFIS' (Foz do Iguaçu) e 'COSTA E SILVA C E PRESEF M N' (Sengés);1.175
120;Colégio Estadual Cívico-Militar Tancredo de Almeida Neves;41102959.0;TANCREDO DE ALMEIDA NEVES C E EF M;Laranjeiras do Sul;confirmed;Top match claro (score 1.150 vs 0.958);1.15
121;Colégio Estadual Tarquínio Santos;41076877.0;TARQUINIO SANTOS C E CMEF M PROFIS;Foz do Iguaçu;confirmed;Top match claro (score 1.175 vs 0.762);1.175
122;Colégio Estadual Cívico Militar Ipê Roxo;41378571.0;IPE ROXO C E CMEF M PROFIS;Foz do Iguaçu;confirmed;Top match claro (score 1.175 vs 0.650);1.175
123;Colégio Estadual Sol de Maio;41378598.0;SOL DE MAIO C E CMEF M PROFIS;Foz do Iguaçu;confirmed;Top match claro (score 1.175 vs 0.562);1.175
124;Colégio Estadual Tancredo Neves;41076869.0;TANCREDO DE A NEVES C E CMEF M N P;Foz do Iguaçu;ambiguous;Competição próxima entre 'TANCREDO DE A NEVES C E CMEF M N P' (Foz do Iguaçu) e 'TANCREDO NEVES C E CMEF M' (Coronel Vivida);1.233
125;Colégio Cívico-Militar Naira Fellini;41144333.0;NAIRA FELLINI C E CMEF M PROFIS;Medianeira;confirmed;Top match claro (score 0.923 vs 0.487);0.923
126;Colégio Estadual Cívico Militar Angelo Antonio Benedet;41372395.0;ANGELO ANTONIO BENEDET C E CMEF M P;Santa Terezinha de Itaipu;confirmed;Top match claro (score 1.262 vs 0.637);1.262
127;Colégio Estadual Nestor Victor dos Santos;41079116.0;NESTOR V DOS SANTOS C E CMEF M PROFIS;São Miguel do Iguaçu;confirmed;Top match claro (score 0.923 vs 0.723);0.923
128;Colégio Estadual Carlos Drummond de Andrade;41063619.0;CARLOS DRUMMOND DE ANDRADE E E EF;Assis Chateaubriand;confirmed;Top match claro (score 1.150 vs 0.923);1.15
129;Colegio Estadual Do Campo Presidente Kennedy;41077776.0;KENNEDY C E C CM PRESEF M;Serranópolis do Iguaçu;ambiguous;Competição próxima entre 'KENNEDY C E C CM PRESEF M' (Serranópolis do Iguaçu) e 'KENNEDY C E CM PRESEF M PROF NORMAL' (Rolândia);0.792
130;Colégio Estadual Santa Rita;41148550.0;SANTA RITA E E CMEF;Foz do Iguaçu;confirmed;Top match claro (score 1.233 vs 1.033);1.233
131;Colégio Estadual Marechal Artur da Costa e Silva;41076265.0;COSTA E SILVA C E CM PRESEF M PROFIS;Foz do Iguaçu;confirmed;Top match claro (score 0.923 vs 0.758);0.923
132;Colégio Estadual Cívico-Militar Candido Portinari;41079590.0;CANDIDO PORTINARI C E CMEF M;Ampére;confirmed;Top match claro (score 1.233 vs 0.883);1.233
133;Vicente De Carli, C E Prof-Ef M;41086600.0;VICENTE DE CARLI C E CM PROFEF M;Francisco Beltrão;confirmed;Top match claro (score 1.233 vs 0.762);1.233
134;Colégio Estadual Beatriz Biavatti;41144058.0;BEATRIZ BIAVATTI C E CMEF M;Francisco Beltrão;confirmed;Top match claro (score 1.233 vs 0.545);1.233
135;Escola Estadual Dom Carlos Eduardo;41082249.0;CARLOS EDUARDO C E CM DEF M;Realeza;confirmed;Top match claro (score 1.233 vs 0.825);1.233
