codigo_inep;codigo_mec;nome_escola_original;nome_escola_cadastro;municipio;ano;data_documento;data_evento;tipo_evento;status_evento;documento_origem;pagina_origem;evidencia;nivel_confianca;observacao
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-10-30;2023-10-30;OUTRO;PROCESSO_SELETIVO_GERAL;edital952023_gsseed_protocolo203330650_ccm_resultado_parcial.pdf;1;edital952023_gsseed_protocolo203330650_ccm_resultado_parcial.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital952023_gsseed_protocolo203330650_ccm_resultado_parcial.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-11-01;2023-11-01;OUTRO;PROCESSO_SELETIVO_GERAL;edital962023_gsseed_protocolo203330650_ccm_lista_complementar.pdf;1;edital962023_gsseed_protocolo203330650_ccm_lista_complementar.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital962023_gsseed_protocolo203330650_ccm_lista_complementar.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-11-10;2023-11-10;OUTRO;PROCESSO_SELETIVO_GERAL;edital1002023_gsseed_protocolo203330650_ccm_resultado_analise_recursos_fase_investigacao_vida.pdf;1;edital1002023_gsseed_protocolo203330650_ccm_resultado_analise_recursos_fase_investigacao_vida.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital1002023_gsseed_protocolo203330650_ccm_resultado_analise_recursos_fase_investigacao_vida.
41025318;41025318;APUCARANA ALBERTO SANTOS DUMONT, C E-EF M PROFIS;ALBERTO SANTOS DUMONT C E CMEF M P;Apucarana;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41025806;41025806;APUCARANA JOSE DE ANCHIETA, C E PE-EF M PROFIS;JOSE DE ANCHIETA C E CM PEEF M PROFIS;Apucarana;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41026055;41026055;APUCARANA OSMAR GUARACY FREIRE, C E-EF M P;OSMAR GUARACY FREIRE C E CMEF M P;Apucarana;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41026152;41026152;APUCARANA POLIVALENTE C DOMINGOS SILVA,C E- EFMP;POLIVALENTE C D SILVA C E CMEF M P;Apucarana;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41026411;41026411;ARAPONGAS ANTONIO RACANELLO SAMPAIO, C E- EF M;ANTONIO RACANELLO SAMPAIO C EEF M;Arapongas;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41027370;41027370;CAMBIRA ROSA D CALSAVARA, C E-EF M PROFIS;ROSA D CALSAVARA C E CMEF M PROFIS;Cambira;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41122801;41122801;ALBERTO KRAUSE, C E PROF-EF M;ALBERTO KRAUSE C E CM PROFEF M P;Almirante Tamandaré;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41122860;41122860;FLORIPA TEIXEIRA DE FARIA, C E-EF M;FLORIPA TEIXEIRA DE FARIA C EEF M PROF;Almirante Tamandaré;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41123301;41123301;TANCREDO NEVES, C E-EF M PROFIS;TANCREDO NEVES C EEF M;Almirante Tamandaré;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41124669;41124669;IVAN F DO AMARAL FILHO, C E-EF M PROF;IVAN F DO AMARAL FILHO C E CM EF M P;Campina Grande do Sul;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41126050;41126050;HELENA KOLODY, C E-EF M PROF;HELENA KOLODY C EEF M PROF;Colombo;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41126122;41126122;JOAO R DE CAMARGO, C E-EF M PROFIS;JOAO R DE CAMARGO C E CM EF M;Colombo;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41135784;41135784;LEOCADIA B RAMOS, C E-EF M PROFIS N;LEOCADIA B RAMOS C EEF M PROFIS;Pinhais;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41164920;41164920;ARAPONGAS IRONDI MANTOVANI PUGLIESI, C E-EF M;IRONDI MANTOVANI PUGLIESI C E CMEF M;Arapongas;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41373456;41373456;OSCAR J D P E SILVA, C E-EF M 4;OSCAR J D P E SILVA C E CM EF M;Pinhais;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41387724;41387724;DANIEL ROCHA, C E PROF-EF M PROFIS;DANIEL ROCHA C E PROFEF M PROFIS;Pinhais;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Edital nº 101/2023 (p. 1) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41043375;41043375;BANDEIRANTES NOBREGA DA CUNHA, C E-EF M;NOBREGA DA CUNHA C E CMEF M;Bandeirantes;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41046218;41046218;SERTANEJA ANTONIO BITONTI, E E PROF-EF;ANTONIO BITONTI E E CM PROFEF;Sertaneja;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41070585;41070585;CAP L MARQUES CARLOS A CAMARGO, C E-EF M PROFIS;CARLOS A CAMARGO C E CMEF M PROFIS;Capitão Leônidas Marques;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41071018;41071018;CASCAVEL XIV DE NOVEMBRO, C E -EF M;XIV DE NOVEMBRO C E CMEF M;Cascavel;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41071409;41071409;CASCAVEL HUMBERTO A C BRANCO, C E MAL-EF M PROF;HUMBERTO A C BRANCO C E CM MALEF M P;Cascavel;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41071590;41071590;CASCAVEL JOSE A B ORSO, C E-EF M;JOSE A B ORSO C E CMEF M PROF;Cascavel;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41071832;41071832;CASCAVEL MARILIS F PIROTELLI, C E-EF M;MARILIS F PIROTELLI C EEF M;Cascavel;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41072626;41072626;CORBELIA AMANCIO MORO, C E-EF M N PROFIS;AMANCIO MORO C E CM EF M N PROFIS;Corbélia;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41124014;41124014;JUVENTUDE DE SANTO ANTONIO, C E- EF M;JUVENTUDE DE SANTO ANTONIO C E CMEF M;Balsa Nova;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41125053;41125053;DJALMA MARINHO, C E-EF M PROFIS;DJALMA MARINHO C E CMEF M PROFIS;Campo Largo;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41125193;41125193;JOAO XXIII, C E-E F M;JOAO XXIII C E CMEF M;Campo Largo;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41125304;41125304;MACEDO SOARES, C E-EF M PROFIS;MACEDO SOARES C E CMEF M PROFIS;Campo Largo;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41126670;41126670;MIGUEL FRANCO FILHO, C E-EF M PROFIS;MIGUEL FRANCO FILHO C E CMEF M PROFIS;Contenda;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41127048;41127048;CURITIBA ALFREDO PARODI, C E-EF M PROFIS;ALFREDO PARODI C EEF M PROFIS;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41128664;41128664;CURITIBA CRUZEIRO DO SUL, C E-EF M PROFIS;CRUZEIRO DO SUL C E CMEF M P;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41129539;41129539;CURITIBA GELVIRA CORREA PACHECO, C E-EF M;GELVIRA CORREA PACHECO C EEF M P;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41129920;41129920;CURITIBA ISABEL L S SOUZA, C E PROFA-EF M PROFIS;ISABEL L S SOUZA C E PROFAEF M PROFIS;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41129970;41129970;CURITIBA IVO LEAO, C E-EF M;IVO LEAO C EEF M;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41130065;41130065;CURITIBA JAYME CANET, C E-EF M PROFIS;JAYME CANET C E CMEF M P;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41130146;41130146;CURITIBA JOAO LOYOLA, C E PROF-EF M;JOAO LOYOLA C E CM PROFEF M P;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41130170;41130170;CURITIBA JOAO PAULO I, C E PAPA-EF M PROFIS;JOAO PAULO I C E CM PAPAEF M P;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41130189;41130189;CURITIBA JOAO PAULO II, C E-EF M;JOAO PAULO II C EEF M PROFIS;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
41130200;41130200;CURITIBA JOAO WISLINSKI, C E PE-EF M N;JOAO WISLINSKI C E CM PEEF M N P;Curitiba;2023;2023-11-10;2023-11-28;CONSULTA;CONVOCADA;edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;2;Edital nº 101/2023 (p. 2) - Convocação da comunidade escolar para Consulta Pública realizada em 28 e 29/11/2023 com previsão de adesão em 2024.;CONFIRMADO;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.
