codigo_mec_documento;codigo_inep;nome_escola_original;nome_escola_cadastro;municipio_documento;municipio_cadastro;uf;status_matching;nivel_confianca;justificativa;fonte_cadastro;documento_origem;pagina_origem;observacao
41010345;41010345;RONDON CASTRO ALVES, C E - EM PROFIS;CASTRO ALVES C E CMEM PROFIS;Cianorte;Rondon;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Rondon' identificado no cabeçalho/texto e termos nominais concordantes (ALVES, CASTRO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1102023_gsseed.pdf;1;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41010540;41010540;SANTOS DUMONT, C E-EM N;SANTOS DUMONT C EEF M N;São Tomé;São Tomé;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'São Tomé' idêntico e termos significativos concordantes (DUMONT, SANTOS).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual.
41012631;41012631;GOIOERE RIBEIRO DE CAMPOS, E E-EF;RIBEIRO DE CAMPOS E E CMEF;Goioerê;Goioerê;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Goioerê' idêntico e termos significativos concordantes (CAMPOS, RIBEIRO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;3;Rede Estadual.
41016254;41016254;ENGENHEIRO BELTRÃO;ANTONIO VIEIRA C E PEEF M PROF NORMAL;Campo Mourão;Engenheiro Beltrão;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Conclusivo + NRE/Município Validado);"Revalidado na Auditoria Final: Código MEC 41016254 exato; Estabelecimento Antonio Vieira em Engenheiro Beltrão homologado no Edital 136/2025 (p. 2). Retificação oficial de erro material do Edital 125/2025 consolidada.";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf;2;Quebra de linha no documento original documentada.
41018800;41018800;LEO KOHLER, E E PROF-EF;LEO KOHLER E E CM PROFEF;Terra Boa;Terra Boa;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Terra Boa' idêntico e termos significativos concordantes (KOHLER, LEO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1122023_gsseed_expansao.pdf;1;Rede Estadual.
41020189;41020189;LOBATO OSVALDO ARANHA, E E - EF;OSVALDO ARANHA E EEF;Maringá;Lobato;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Lobato' identificado no cabeçalho/texto e termos nominais concordantes (ARANHA, OSVALDO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41020286;41020286;MANDAGUACU FRANCISCO J PERIOTO, E E PROF-EF;FRANCISCO J PERIOTO E E CM PROFEF;Maringá;Mandaguaçu;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Mandaguaçu' identificado no cabeçalho/texto e termos nominais concordantes (FRANCISCO, J, PERIOTO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41020685;41020685;FRANCISCO P X LOPES, E E CON- EF;FRANCISCO P X LOPES E E CONEF;Nova Esperança;Nova Esperança;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Nova Esperança' idêntico e termos significativos concordantes (FRANCISCO, LOPES, X).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;3;Rede Estadual.
41020910;41020910;CECILIA MEIRELES, E E-EF;CECILIA MEIRELES E E CMEF;Santa Fé;Santa Fé;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Santa Fé' idêntico e termos significativos concordantes (CECILIA, MEIRELES).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1102023_gsseed.pdf;1;Rede Estadual.
41021010;41021010;MANOEL F ALMEIDA, E E DR-EF;MANOEL F ALMEIDA E E CM DREF;Santo Inácio;Santo Inácio;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Santo Inácio' idêntico e termos significativos concordantes (ALMEIDA, F, MANOEL).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41021100;41021100;ANASTACIO CEREZINE, E E-EF 6;ANASTACIO CEREZINE E E CMEF;Alvorada do Sul;Alvorada do Sul;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Alvorada do Sul' idêntico e termos significativos concordantes (ANASTACIO, CEREZINE).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;3;Rede Estadual.
41022750;41022750;FLORESTA ARTHUR C E SILVA, E E PRES-EF;ARTHUR C E SILVA E E CM PRESEF;Maringá;Floresta;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Floresta' identificado no cabeçalho/texto e termos nominais concordantes (ARTHUR, SILVA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41024281;41024281;MARINGÁ MARCO A PIMENTA, C E-EF M;MARCO A PIMENTA C EEF M;Maringá;Maringá;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Maringá' idêntico e termos significativos concordantes (A, MARCO, PIMENTA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual.
41024923;41024923;PAIÇANDU IZABEL, C E PRINC-EF-M;IZABEL C E PRINCEF M;Maringá;Paiçandu;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Paiçandu' identificado no cabeçalho/texto e termos nominais concordantes (IZABEL).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41024931;41024931;PAICANDU NEIDE BERTASSO BERALDO, C E-EF M PROFIS;NEIDE BERTASSO BERALDO C EEF M PROFIS;Maringá;Paiçandu;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Paiçandu' identificado no cabeçalho/texto e termos nominais concordantes (BERALDO, BERTASSO, NEIDE).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41025318;41025318;APUCARANA ALBERTO SANTOS DUMONT, C E-EF M PROFIS;ALBERTO SANTOS DUMONT C E CMEF M P;Apucarana;Apucarana;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Apucarana' idêntico e termos significativos concordantes (ALBERTO, DUMONT, SANTOS).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Rede Estadual.
41025636;41025636;APUCARANA FRANCISCO A SOUSA, E E PROF-EF;FRANCISCO A SOUSA E E PROFEF;Apucarana;Apucarana;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Apucarana' idêntico e termos significativos concordantes (A, FRANCISCO, SOUSA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual.
41025806;41025806;APUCARANA JOSE DE ANCHIETA, C E PE-EF M PROFIS;JOSE DE ANCHIETA C E CM PEEF M PROFIS;Apucarana;Apucarana;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Apucarana' idêntico e termos significativos concordantes (ANCHIETA, JOSE).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Rede Estadual.
41026055;41026055;APUCARANA OSMAR GUARACY FREIRE, C E-EF M P;OSMAR GUARACY FREIRE C E CMEF M P;Apucarana;Apucarana;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Apucarana' idêntico e termos significativos concordantes (FREIRE, GUARACY, OSMAR).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Rede Estadual.
41026152;41026152;APUCARANA POLIVALENTE C DOMINGOS SILVA,C E- EFMP;POLIVALENTE C D SILVA C E CMEF M P;Apucarana;Apucarana;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Apucarana' idêntico e termos significativos concordantes (POLIVALENTE, SILVA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Rede Estadual.
41026411;41026411;ARAPONGAS ANTONIO RACANELLO SAMPAIO, C E- EF M;ANTONIO RACANELLO SAMPAIO C EEF M;Apucarana;Arapongas;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Arapongas' identificado no cabeçalho/texto e termos nominais concordantes (ANTONIO, RACANELLO, SAMPAIO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41026705;41026705;ARAPONGAS IVANILDE DE NORONHA, C E-EF M PROFID;IVANILDE DE NORONHA C EEF M;Apucarana;Arapongas;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Arapongas' identificado no cabeçalho/texto e termos nominais concordantes (IVANILDE, NORONHA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41026764;41026764;ARAPONGAS JULIA WANDERLEY, E E PROFA-EF;JULIA WANDERLEY E E PROFAEF;Apucarana;Arapongas;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Arapongas' identificado no cabeçalho/texto e termos nominais concordantes (JULIA, WANDERLEY).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1102023_gsseed.pdf;1;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41027370;41027370;CAMBIRA ROSA D CALSAVARA, C E-EF M PROFIS;ROSA D CALSAVARA C E CMEF M PROFIS;Apucarana;Cambira;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Cambira' identificado no cabeçalho/texto e termos nominais concordantes (CALSAVARA, D, ROSA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;1;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41028279;41028279;SABÁUDIA HERMINIA R. LUPION, CE-EF M PROFIS;HERMINIA R LUPION C EEF M PROFIS;Apucarana;Sabáudia;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Sabáudia' identificado no cabeçalho/texto e termos nominais concordantes (HERMINIA, LUPION, R).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41028406;41028406;CAMBE ANDREA NUZZI, C E MAESTRO-EF M PROFIS;ANDREA NUZZI C E CM MAESTROEF M P;Londrina;Cambé;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Cambé' identificado no cabeçalho/texto e termos nominais concordantes (ANDREA, NUZZI).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41028457;41028457;CAMBE ATTILIO CODATO, C E-EF M PROFIS;ATTILIO CODATO C E CMEF M;Londrina;Cambé;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Cambé' identificado no cabeçalho/texto e termos nominais concordantes (ATTILIO, CODATO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41028732;41028732;CAMBE HELENA KOLODY, C E PROF-EF M;HELENA KOLODY C E CM PROFEF M;Londrina;Cambé;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Cambé' identificado no cabeçalho/texto e termos nominais concordantes (HELENA, KOLODY).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41028902;41028902;CAMBE MANUEL BANDEIRA, C E-EF EM PROFIS;MANUEL BANDEIRA C E CMEF M PROFIS;Londrina;Cambé;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Cambé' identificado no cabeçalho/texto e termos nominais concordantes (BANDEIRA, MANUEL).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41030125;41030125;LONDRINA CARLOS DE ALMEIDA, C E-EF M PROFIS;CARLOS DE ALMEIDA C E CMEF M PROFIS;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (ALMEIDA, CARLOS).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41030265;41030265;LONDRINA CELIA MORAES DE OLIVEIRA,C E PROF- EF M P;CELIA M DE OLIVEIRA C E CM PROFEF M P;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (CELIA, OLIVEIRA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41030486;41030486;LONDRINA WISTREMUNDO R P GARCIA, C E PE-EF M P;WISTREMUNDO R P GARCIA C E CM PEEFM P;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (GARCIA, R, WISTREMUNDO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41030800;41030800;LONDRINA HEBER S VARGAS, C E PROF DR-EF M PROFIS;HEBER S VARGAS C E CM PROF DREF M P;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (HEBER, S, VARGAS).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41031237;41031237;LONDRINA HUGO SIMAS, C E-EF M PROFIS;HUGO SIMAS C E CMEF M PROFIS;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (HUGO, SIMAS).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41031253;41031253;LONDRINA HUMBERTO P COUTINHO, C E-EF M PROFIS;HUMBERTO P COUTINHO C E CMEF M PROFIS;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (COUTINHO, HUMBERTO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41031709;41031709;LONDRINA LAURO G DA V PESSOA, E E PROF-EF;LAURO G DA V PESSOA E E CM PROFEF;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (G, LAURO, PESSOA, V).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1102023_gsseed.pdf;1;Rede Estadual.
41031750;41031750;LONDRINA LUCIA B LISBOA, C E PROFA-EF M;LUCIA B LISBOA C E PROFAEF M;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (B, LISBOA, LUCIA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
41031873;41031873;LONDRINA MARGARIDA B LISBOA, C E PROFA-EF M;MARGARIDA B LISBOA C E CM PROFAEF M;Londrina;Londrina;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Londrina' idêntico e termos significativos concordantes (B, LISBOA, MARGARIDA).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;4;Rede Estadual.
